Category,Service,Agency,Phone number,Address,Website,Description that relate to service,Tags,Logo
Children,Supports for Children,"Child and Youth Mental Health, MCFD",604 940-7900 or 604 501-3237 for referrals,"220-5000 Bridge Street, Delta",http://www2.gov.bc.ca/gov/content/health/managing-your-health/mental-health-substance-use/child-teen-mental-health/mental-health-intake-clinics,Must show up in person: Thursdays 9-11:30 South Delta *check website to confirm clinic times,,
Children,Supports for Children,Community Brain Injury Program,1-877-451-5511,,http://mybrainonline.ca/,Anyone in B.C. with questions about a child or youth with brain injuries is welcome to call our information line,,
Children,Supports for Children,DIVERSEcity Community Resources Society,604-547-1202 or 604-547-2016,"13455 76 Avenue, Surrey, BC, V3W 2W3",http://www.dcrs.ca/,Provides individual and group counselling to children who have witnessed or been subjected to abuse in the home to help them learn to cope with the impact of the trauma.,,
Children,Supports for Children,Fraser Health Speech & Language Therapy,604-587-4273,,http://www.fraserhealth.ca/health-info/pregnancy-and-babies/life-with-baby/growth-and-development/speech-and-language/,Have your child's speech and language abilities tested,,
Children,Supports for Children,Fraser Health START program,1-844-START11,,http://www.fraserhealth.ca/health-info/mental-health-substance-use/child-and-youth/child-youth-mental-health-services/short-term-assessment-response-treatment-team/,Confidential metal health crisis intervention services for children and teens 6-18,,
Children,Supports for Children,Fraser Region Aboriginal Friendship Centre Association (Kla-how-eya),604-584-2008,,http://frafca.org/,"Home visits, child assessments, and support for Aboriginal infant development and their parents",,
Children,Supports for Children,Learning Disabilities Association of BC - Fraser South Chapter,,Call 604-591-5156 http://www.ldafs.org,,"Provides a resource centre, and information and referral. Services for children and youth",,
Children,Supports for Children,Reach Child & Youth Development Society,,"Call 604-946-6622
 Reach Website",,"Support for infants and children with additional needs, child assessments, behavioural and physical therapy programs, support for parents.",,
Children,Supports for Children,The Centre for Child Development,,604-584-1361 http://the-centre.org/,,"Support for infants and children with additional needs, child assessments, behavioural and physical therapy programs, support for parents.",,
Children,Supports for Children,Cedarwood Family Support Program,604-434-9101,"10453 Whalley Blvd
 Surrey, B.C. V3T 5B1",www.childrens-foundation.org,"Offers parenting training, counselling, and support to families of children under age 13 with moderate to severe behaviour problems.",,
Families,Assistance with fees,Boys and Girls Club South Coast BC,604-591-9262,"3rd Floor, 11861 88th Avenue, Delta, BC, V4C 3C6",https://www.bgcbc.ca/,Financial subsidies for summer camp and after school programs.,,
Families,Assistance with fees,Canadian Tire Jump Start,604-591-9262,Delta,http://jumpstart.canadiantire.ca/en.html,Financial subsidies for children aged 5-17 in sports,,
Families,Assistance with fees,Child Care Resource & Referral Program (CCRR),604-572-8032,"#100-6846 King George Boulevard, Surrey, BC",http://www.childcareoptions.ca/,Information about eligibility and rates for child care subsidies.,,
Families,Assistance with fees,"Delta Parks, Recreation and Culture",604-946-4141,Delta,http://www.delta.ca/parks-recreation/sport-recreation/recreation-access,"Grade 5, 6, 7 & 8 students in Delta: Eligible for free admission to use drop in programs at all Delta Parks, Recreation and Culture programs. $5 administration fee per year.",,
Families,Assistance with fees,"Delta Parks, Recreation and Culture",604-946-3298,Delta,http://www.delta.ca/parks-recreation/sport-recreation/recreation-access,"The Corporation of Delta’s Leisure Access Assistance Program allows eligible, low-income Delta residents (individuals or families) to access drop-in land & aquatic fitness classes, weight room sessions, public swims, open gyms & public skating.",,
Families,Assistance with fees,Eric Ripplinger Memorial Fund for Swimming Lessons for Youth,604-946-3305,Delta,http://www.delta.ca/parks-recreation/sport-recreation/recreation-access,Financial subsidies for Delta children to learn how to swim,,
Families,Assistance with fees,Julia and Henry Aldrich Memorial Fund for Youth,aldrichfund@corp.delta.bc.ca,Delta,http://www.delta.ca/parks-recreation/sport-recreation/recreation-access,"Delta residents 6 months to 18 years of age for full or partial payment of introductory recreation programs offered through Delta Parks, Recreation and Culture",,
Families,Assistance with fees,Kidsport,,604.943.0460 www.kidsportdelta.ca,,Financial subsidies for children participating in sports.,,
Families,Childcare & Preschool,Fraser Health - Licensed Child Care,,,http://www.fraserhealth.ca/health-info/health-topics/child-care/find-daycares/,Listing of licensed child care programs,,
Families,Childcare & Preschool,Child Care Resource & Referral Program (CCRR),604-572-8032,"#100-6846 King George Boulevard, Surrey, BC",http://www.childcareoptions.ca/,"Listing of preschools, child care programs, and service providers",,
Families,Childcare & Preschool,Ministry of Children & Family Development,,Call Child Care Help Line 1-888-338-6622,,"For information on eligibility, rates and frequently asked questions on BC Child Care subsidy program.",,
Families,Help in a Crisis,Children's Helpline,310-1234 (no area code is required),,http://www2.gov.bc.ca/gov/content/safety/public-safety/protecting-children/keeping-kids-safe,"Ministry of Children and Family Development runs a helpline for children and youth 24 hours a day. Parents, friends and families can also call. In an emergency call 911.",,
Families,Help in a Crisis,Crisis Line,310-6789 (no area code is required),,http://www.crisislines.bc.ca/,Crisis line for any one.,,
Families,Help in a Crisis,Emergency Line,911,,,"For Fire, Police & Ambulance",,
Families,Supports for families,BC211,Dial 211,"111 W Hastings St #330, Vancouver, BC V6B 1H4",http://redbookonline.bc211.ca/,Referalls and online directory of community services.,,
Families,Supports for families,"Canadian Mental Health Association, Delta Branch",604-943-1878,"4871 Delta St, Delta, BC V4K 2T9",https://vancouver-fraser.cmha.bc.ca/,"Information and referral, support groups for individuals and family members with mental illness.",,
Families,Supports for families,Deltaassist Family & Community Services,604-594-3455,"9097 120 Street,
 Delta B.C. V4C 6R7",http://www.deltaassist.com,"Nobody's Perfect Parenting program, Starfish food backpack program for children and families",,
Families,Supports for families,Deltaassist Family & Community Services,604-594-3455,"9097 120 Street,
 Delta B.C. V4C 6R7",http://www.deltaassist.com/about-deltassist/find-a-service,Online directory of community services.,,
Families,Supports for families,Family Support Institute,1-800-441-5403,"227 6th Street
 New Westminster, BC V3L 3A5",https://familysupportbc.com/,Peer support network for parents who have children with physical and mental extra support needs.,,
Families,Supports for families,FamilySmart,1-855-887-8004,"1000 - 355 Burrard St.
 Vancouver, BC V6C 2G8",http://www.familysmart.ca/,Peer support network for parents who have children with mental health and/or substance use challenges.,,
Families,Supports for families,Rainbow Families,,(604) 684-5307 http://qmunity.ca/groups/,,"A group for Metro Vancouver LGBTQ parents and kids, meeting the first Saturday of every month.",,
Pregnancy & Babies,Health & Development,Fraser Health,North Delta 604-507-5400,"North Delta Public Health Unit
 11245 84 Avenue
 Delta, B.C. V4C 2L9",http://www.fraserhealth.ca/health-info/pregnancy-and-babies/,Health program and information for pregnant moms and infants.,"Baby, Health, Pregnancy",http://www.fraserhealth.ca/media/187x999/FraserHealth_Logo.png
Pregnancy & Babies,Health & Development,Fraser Health,South Delta 604-952-3550,"South Delta Public Health Unit
 4470 Clarence Taylor Crescent
 Delta, B.C. V4K 3W3",http://www.fraserhealth.ca/health-info/pregnancy-and-babies/,Health program and information for pregnant moms and infants.,"Baby, Health, Pregnancy",http://www.fraserhealth.ca/media/187x999/FraserHealth_Logo.png
Pregnancy & Babies,Health & Development,Health Link BC,Call 811,,https://www.healthlinkbc.ca/,Advice from nurses available 24 hours a day. For emergencies call 911.,"Baby, Health, Pregnancy",
Pregnancy & Babies,Supports for families,Healthiest Babies Possible,604-583-1017,,http://www.options.bc.ca/families-children/healthiest-babies-possible,A program for new moms,"Baby, Health, Pregnancy",
Pregnancy & Babies,Supports for families,Pacific Post Partum Support Society,Call counseling line 604-255-7999,"200 - 7342 Winston St.
 Burnaby, BC V5A 2H1",http://postpartum.org/,Counseling and support for new moms,"Baby, Health, Pregnancy",
Pregnancy & Babies,Help in a Crisis,Crisis Line,310-6789 (no area code is required),,http://www.crisislines.bc.ca/,Crisis line for any one.,,
Pregnancy & Babies,Help in a Crisis,Emergency Line,911,,,"For Fire, Police & Ambulance",,
